order_book_id,date,prev_close,close,volume,open,low,total_turnover,high
000300.XSHG,2025-02-21,3928.8959,3978.444,22740033000.0,3938.0518,3927.7874,504645493577.1,3981.048
000300.XSHG,2025-02-24,3978.444,3969.7169,22081061800.0,3972.4831,3949.2309,455088749684.5,3995.9456
000300.XSHG,2025-02-25,3969.7169,3925.6505,17810858000.0,3933.636,3915.6527,377981451250.4,3955.4336
000300.XSHG,2025-02-26,3925.6505,3959.9413,19106250100.0,3931.842,3925.3664,386458193762.6,3960.3298
000300.XSHG,2025-02-27,3959.9413,3968.1159,20288796300.0,3961.0635,3933.4611,428272792667.6,3973.9323
000300.XSHG,2025-02-28,3968.1159,3890.0487,19810414700.0,3950.1866,3886.3994,420308043450.1,3972.4813
000300.XSHG,2025-03-03,3890.0487,3888.4738,17762316600.0,3899.6962,3872.5872,356057735014.0,3930.0048
000300.XSHG,2025-03-04,3888.4738,3885.2208,14985096700.0,3865.9939,3855.7254,297739246802.3,3890.4235
000300.XSHG,2025-03-05,3885.2208,3902.5706,15865275100.0,3887.7992,3877.0188,290860484504.9,3906.4214
000300.XSHG,2025-03-06,3902.5706,3956.2369,19396091500.0,3923.3827,3917.0833,397419427642.7,3964.4942
000300.XSHG,2025-03-07,3956.2369,3944.0143,16673237500.0,3944.9145,3935.0464,340626700285.5,3967.0743
000300.XSHG,2025-03-10,3944.0143,3928.8018,15276523200.0,3945.5795,3905.127,292574987480.9,3949.1448
000300.XSHG,2025-03-11,3928.8018,3941.4157,14475440200.0,3890.4305,3889.4298,287480453119.8,3941.4157
000300.XSHG,2025-03-12,3941.4157,3927.2315,15673219000.0,3946.8623,3921.4736,309627267364.8,3953.6125
000300.XSHG,2025-03-13,3927.2315,3911.5793,15653644300.0,3925.7439,3897.3758,295173112579.6,3939.2854
000300.XSHG,2025-03-14,3911.5793,4006.5567,21613900300.0,3919.6159,3919.6159,450895278803.0,4014.1586
000300.XSHG,2025-03-17,4006.5567,3996.7876,16220291100.0,4020.6402,3992.2563,318904417418.3,4021.7278
000300.XSHG,2025-03-18,3996.7876,4007.7229,14020849600.0,4011.7794,3995.9602,292739319544.6,4016.873
000300.XSHG,2025-03-19,4007.7229,4010.168,14441942800.0,4004.8251,3989.512,286075300795.3,4025.299
000300.XSHG,2025-03-20,4010.168,3974.9918,13375467000.0,4011.0588,3969.9259,260020676825.8,4012.0416
000300.XSHG,2025-03-21,3974.9918,3914.6956,16590529400.0,3966.5146,3904.7674,309348613935.4,3983.1476
000300.XSHG,2025-03-24,3914.6956,3934.8486,15223467400.0,3916.1136,3907.1999,266051442612.7,3938.1826
000300.XSHG,2025-03-25,3934.8486,3932.2951,14047539900.0,3937.8975,3921.5287,239246310985.8,3946.3574
000300.XSHG,2025-03-26,3932.2951,3919.3566,13116418700.0,3930.2073,3916.8607,220943164486.2,3942.026
000300.XSHG,2025-03-27,3919.3566,3932.4117,12679373800.0,3911.3841,3903.652,232173613774.0,3952.9852
000300.XSHG,2025-03-28,3932.4117,3915.1662,12635621400.0,3930.7763,3907.384,213379194289.3,3934.2336
000300.XSHG,2025-03-31,3915.1662,3887.3056,16679852300.0,3905.9815,3872.403,268480316572.3,3928.4482
000300.XSHG,2025-04-01,3887.3056,3887.6841,14038027400.0,3892.7794,3882.4045,246041674670.2,3905.2622
000300.XSHG,2025-04-02,3887.6841,3884.3858,11304317500.0,3884.4181,3877.1599,198267515342.4,3900.4949
000300.XSHG,2025-04-03,3884.3858,3861.5034,14259978900.0,3843.4177,3843.4177,263684681545.1,3883.7025
000300.XSHG,2025-04-07,3861.5034,3589.4406,31257858600.0,3675.2017,3514.1165,512971787744.6,3707.7771
000300.XSHG,2025-04-08,3589.4406,3650.759,28019731200.0,3597.9859,3583.8746,464021087837.5,3650.759
000300.XSHG,2025-04-09,3650.759,3686.7943,26230570800.0,3606.1036,3587.3368,455031069289.8,3686.7943
000300.XSHG,2025-04-10,3686.7943,3735.1151,22725222700.0,3749.1262,3708.8194,403842564855.5,3756.1386
000300.XSHG,2025-04-11,3735.1151,3750.5167,16875969100.0,3730.3148,3708.4617,318535141904.4,3762.3653
000300.XSHG,2025-04-14,3750.5167,3759.1422,16446240300.0,3772.0407,3754.033,292571297039.1,3776.6344
000300.XSHG,2025-04-15,3759.1422,3761.2348,13400604000.0,3756.4788,3737.8495,228604621375.8,3764.486
